,Place,Person,Post,Share,Date
0,,"['ค น ห ล ง ท า ง', 'บ้านป่าริมธารโฮมสเตย์ - ทุ่งเพล จันทบุรี']","บ้านป่าริมธาร : Cabin Creek
สุขกายในบ้านกลางไพร สุขใจกลางสายน้ำไหลริน
------
แล้วใครเลยจะรู้ คืนนี้เราได้อยู่ด้วยกัน
ฉันเพิ่งขอเธอนัด มาพูดคุยกันที่บ้านฉัน...
เห็นเนื้อเพลงข้างบนนี้แล้วก็คงไม่ต้องสงสัยไป #… เพิ่มเติม",,2017-10-15 08:30:00
1,,['ค น ห ล ง ท า ง'],"น ค ร น า ย ก | 2 วัน 1 คืน
ทริปชาร์จแบตร่างกาย กับธรรมชาติใกล้เมืองกรุง…
------
เปิดประเทศทั้งที ถือเป็นช่วงเวลาที่ดีที่พวกเรา
ได้กลับมาเที่ยวเมืองไทยกันอีกครั้ง นอกจากจะได้สัมผัส… เพิ่มเติม",,2021-12-02 18:06:00
2,,['ค น ห ล ง ท า ง'],"Kiri Kiri Café ☕️
คาเฟ่กลางหุบเขา @เชียงใหม่
พิกัด : ต.น้ำบ่อหลวง อ.สันป่าตอง จ.เชียงใหม่
GPS : https://goo.gl/maps/3PJbmvhCCyUn5CMf9
------
มาสัมผัสบรรยากาศของ Kiri Kiri Café
#คาเฟ่เปิดใหม่ ใจกลางหุบเขา… เพิ่มเติม",,2021-12-02 08:30:00
3,,['ค น ห ล ง ท า ง'],"ดีเกินคาด! อํ า น า จ เ จ ริ ญ
𝑨𝒎𝒏𝒂𝒕𝒄𝒉𝒂𝒓𝒐𝒆𝒏 𝑻𝒓𝒂𝒗𝒆𝒍 𝑮𝒖𝒊𝒅𝒆
------
เมื่อการเดินทางสู่ภาคอีสานของ ค น ห ล ง ท า ง ยังไม่จบ
แล้วผมจะยังมุ่งหน้าต่อไปยังจังหวัดอื่นๆ ในโซนนี้อีก
และในทริปนี้ ก็ถึงคิวของ '… เพิ่มเติม",,2021-11-25 18:06:00
4,,['ค น ห ล ง ท า ง'],"รับชม Live งานเปิดตัว vivo V23e 5G On Stage ✨
มาร่วมเพลิดเพลินไปกับงานเปิดตัวรูปแบบใหม่ไปพร้อมกันกับคุณใบเฟิร์น พิมพ์ชนก ลือวิเศษไพบูลย์ คุณเฟื่องลดา สรานี สงวนเรือง และคุณวิน เมธวิน โอภาสเอี่ยมขจร
ลุ้นรับ! … เพิ่มเติม","รับชม Live งานเปิดตัว vivo V23e 5G On Stage ✨
มาร่วมเพลิดเพลินไปกับงานเปิดตัวรูปแบบใหม่ไปพร้อมกันกับคุณใบเฟิร์น พิมพ์ชนก ลือวิเศษไพบูลย์ คุณเฟื่องลดา สรานี สงวนเรือง และคุณวิน เมธวิน โอภาสเอี่ยมขจร
ลุ้นรับ! … เพิ่มเติม",2021-11-23 18:51:00
5,,['ค น ห ล ง ท า ง'],"รวมจุดเช็คอิน ‘ยี่ เ ป็ ง เ ชี ย ง ใ ห ม่’
𝒀𝑬𝑬𝑷𝑬𝑵𝑮 𝑭𝑬𝑺𝑻𝑰𝑽𝑨𝑳 𝑰𝑵 𝑪𝑯𝑰𝑨𝑵𝑮𝑴𝑨𝑰
------
ถึงแม้ว่าตลอดปีที่ผ่านมานั้น ด้วยสถานการณ์ต่างๆ
ทำให้การท่องเที่ยวเหงาๆ ลงไปบ้าง รวมทั้งประเพณีและ
เทศกาลต่างๆ… เพิ่มเติม",,2021-11-18 18:06:00
6,,['ค น ห ล ง ท า ง'],"'เ เ พ ร่'
ทริปนี้ม่วนแต้ๆ เพราะแพร่มีแต่ที่เด็ดๆ !!
-----
เที่ยวทั่วไทย ไปภาคไหนก็สนุกและสุขใจเสมอ
ยิ่งถ้าได้มาเที่ยวทางภาคเหนือแล้วล่ะก็
รับรองว่าม่วนแต้ๆ เลยนะเจ้าาาา
เพราะมีที่เด็ดๆ ธรรมชาติสวยๆ เยอะมาก!!
.… เพิ่มเติม",,2021-11-15 18:06:00
7,,['ค น ห ล ง ท า ง'],"🏮 เ ท ศ ก า ล โ ค ม เ เ ส น ด ว ง | จ. ลำพูน 🏮
วันนี้ - 19 พ.ย. 2564
วัดพระธาตุหริภุญชัยวรมหาวิหาร
และลานอนุสาวรีย์พระนางจามเทวี
------
ห่างหายจากเดินทางเที่ยวเทศกาล
และการได้สัมผัสสีสันของประเพณีต่างๆ … เพิ่มเติม",,2021-11-10 18:06:00
8,,['ค น ห ล ง ท า ง'],"P H E T C H A B U N 🌿
ทริปปลายฝนต้นหนาว เพชรบูรณ์ 2 วัน 1 คืน
เที่ยวใกล้ๆ มาเมื่อไหร่ก็ฟินเสมอ…
------
หากการนอนอยู่ที่บ้านท่ามกลางบรรยากาศครึ้มฟ้าครึ้มฝน
มันช่างเป็นเรื่องน่าเบื่อ… เพิ่มเติม",,2021-11-08 18:06:00
9,,['ค น ห ล ง ท า ง'],"ปลายปีแบบนี้ใครที่กำลังอยากได้คอนโด
ถือว่าเป็นโอกาสที่ดีมากๆ เลยล่ะคร้าบบบ
เพราะช่วงนี้คืออัดโปรกันหนักมาก!!
โดยเฉพาะโครงการของบริษัทอีสเทอร์นสตาร์
ที่อัดโปร “ลดยกแผง” กู้เต็ม 100% แถมอยู่ฟรีกันยาวๆ
.
.… เพิ่มเติม",,2021-11-06 10:00:00
