,Place,Post,Share,Date,CPost,WPost,Page
0,,"Like A Mountain 🍑
คาเฟ่ใหม่ในเขาใหญ่ ที่ฮอตสุดตอนนี้
ปล. ฝากเพจใหม่อีกเพจด้วยนะค้าบ
HashHopper จะเป็นสายคาเฟ่ และร้านอาหาร ครับโผมมมม","เขาใหญ่ทักจ้าา 🙋🏻‍♂️
Like A Mountain Khao Yai คาเฟ่น้องใหม่สไตล์เกาหลีสุดมินิมอล
บรรยากาศสบาย ถ่ายรูปมุมไหนก็ปัง
ร้านนี้เค้ามีทั้งโซน Indoor และ Outdoor เลยด้วย
Indoor ก็น่ารัก ดูคลีนๆ ได้มู้ดเกาหลีกรุบ … เพิ่มเติม",2021-12-02 13:14:00,LikeAMountainคาเฟ่ใหม่ในเขาใหญ่ที่ฮอตสุดตอนนี้ปล.ฝากเพจใหม่อีกเพจด้วยนะค้าบHashHopperจะเป็นสายคาเฟ่และร้านอาหารครับโผมมมม,"['LikeAMountain', 'คาเฟ่', 'ใหม่', 'ใน', 'เขาใหญ่', 'ที่', 'ฮอต', 'สุด', 'ตอนนี้', 'ปล.', 'ฝาก', 'เพจ', 'ใหม่', 'อีก', 'เพจ', 'ด้วย', 'นะ', 'ค้าบ', 'HashHopper', 'จะ', 'เป็น', 'สาย', 'คาเฟ่', 'และ', 'ร้านอาหาร', 'ครับ', 'โผ', 'มมมม']",HashCorner
1,,"FORWARDING HAPPINESS 2022 🎁🎄
ถึงเวลาดูแสงไฟและถ่ายรูปฉลองสิ้นปี
กับศูนย์การค้าเซ็นทรัลที่ส่งต่อพลังความสุข
แทนคำขอบคุณที่อยู่เคียงข้างกันมาตลอด 40 ปี
งานไฟต๊าซๆ อลังการแบบนี้ ปีนึงมีครั้งเดียว … เพิ่มเติม",,2021-12-01 11:12:00,FORWARDINGHAPPINESS2022ถึงเวลาดูแสงไฟและถ่ายรูปฉลองสิ้นปีกับศูนย์การค้าเซ็นทรัลที่ส่งต่อพลังความสุขแทนคำขอบคุณที่อยู่เคียงข้างกันมาตลอด40ปีงานไฟต๊าซๆอลังการแบบนี้ปีนึงมีครั้งเดียวเพิ่มเติม,"['FORWARDINGHAPPINESS', '2022', 'ถึง', 'เวลา', 'ดู', 'แสงไฟ', 'และ', 'ถ่ายรูป', 'ฉลอง', 'สิ้นปี', 'กับ', 'ศูนย์การค้า', 'เซ็นทรัล', 'ที่', 'ส่งต่อ', 'พลัง', 'ความสุข', 'แทน', 'คำขอบคุณ', 'ที่อยู่', 'เคียงข้าง', 'กัน', 'มา', 'ตลอด', '40', 'ปี', 'งาน', 'ไฟ', 'ต๊าซๆ', 'อลังการ', 'แบบนี้', 'ปี', 'นึง', 'มี', 'ครั้ง', 'เดียว', 'เพิ่มเติม']",HashCorner
2,เขาใหญ่,"9 ที่เที่ยวเขาใหญ่ เก็บครบจบปิ๊ง 🌳🏞
ทั้งอุทยานแห่งชาติเขาใหญ่ คาเฟ่ และที่พักจาก Booking.com
โพสต์นี้มีกิจกรรมให้ร่วมสนุก เพื่อชิงรางวัลเครดิตท่องเที่ยว
มูลค่ารวม 55,000 บาทจาก Booking.com ด้วยนะ!
… เพิ่มเติม",,2021-11-30 08:48:00,"9ที่เที่ยวเขาใหญ่เก็บครบจบปิ๊งทั้งอุทยานแห่งชาติเขาใหญ่คาเฟ่และที่พักจากBooking.comโพสต์นี้มีกิจกรรมให้ร่วมสนุกเพื่อชิงรางวัลเครดิตท่องเที่ยวมูลค่ารวม55,000บาทจากBooking.comด้วยนะ!เพิ่มเติม","['9', 'ที่เที่ยว', 'เขาใหญ่', 'เก็บ', 'ครบ', 'จบ', 'ปิ๊ง', 'ทั้ง', 'อุทยานแห่งชาติ', 'เขาใหญ่', 'คาเฟ่', 'และ', 'ที่พัก', 'จาก', 'Booking', '.', 'com', 'โพสต์', 'นี้', 'มี', 'กิจกรรม', 'ให้', 'ร่วม', 'สนุก', 'เพื่อ', 'ชิง', 'รางวัล', 'เครดิต', 'ท่องเที่ยว', 'มูลค่า', 'รวม', '55,000', 'บาท', 'จาก', 'Booking', '.', 'com', 'ด้วย', 'นะ', '!', 'เพิ่มเติม']",HashCorner
3,Future Park & Zpell,"THE HAPPINESS OF GIVING 🎁🎉
ส่งต่อความสุขส่งท้ายปี 2021 ไปกับ
Happy Gift Happy Gang ที่ Future Park และ Zpell
อีกหนึ่งช่วงเวลาพิเศษที่หลายคนนั้นรอคอย
นั่นก็คือช่วงสิ้นปีแบบนี้นี่แหละ … เพิ่มเติม",,2021-11-29 12:53:00,THEHAPPINESSOFGIVINGส่งต่อความสุขส่งท้ายปี2021ไปกับHappyGiftHappyGangที่FutureParkและZpellอีกหนึ่งช่วงเวลาพิเศษที่หลายคนนั้นรอคอยนั่นก็คือช่วงสิ้นปีแบบนี้นี่แหละเพิ่มเติม,"['THEHAPPINESSOFGIVING', 'ส่งต่อ', 'ความสุข', 'ส่งท้าย', 'ปี', '2021', 'ไป', 'กับ', 'HappyGiftHappyGang', 'ที่', 'FuturePark', 'และ', 'Zpell', 'อีก', 'หนึ่ง', 'ช่วงเวลา', 'พิเศษ', 'ที่', 'หลาย', 'คน', 'นั้น', 'รอคอย', 'นั่น', 'ก็', 'คือ', 'ช่วง', 'สิ้นปี', 'แบบนี้', 'นี่แหละ', 'เพิ่มเติม']",HashCorner
4,,"เที่ยวไทยยังไงให้เหมือนได้ไปญี่ปุ่น
ชิซึโอกะ ที่สุดของรสชาติชาญี่ปุ่นแท้ๆ 🍵
ไม่ว่าจะไปเที่ยวทริปไหนๆ
ก๊อตก็รู้สึกเหมือนได้ไปเที่ยวญี่ปุ่นตลอด
เพราะก๊อตพกชาชิซึโอกะไปด้วยทุกที่
… เพิ่มเติม",,2021-11-22 16:24:00,เที่ยวไทยยังไงให้เหมือนได้ไปญี่ปุ่นชิซึโอกะที่สุดของรสชาติชาญี่ปุ่นแท้ๆไม่ว่าจะไปเที่ยวทริปไหนๆก๊อตก็รู้สึกเหมือนได้ไปเที่ยวญี่ปุ่นตลอดเพราะก๊อตพกชาชิซึโอกะไปด้วยทุกที่เพิ่มเติม,"['เที่ยว', 'ไทย', 'ยังไง', 'ให้', 'เหมือน', 'ได้', 'ไป', 'ญี่ปุ่น', 'ชิ', 'ซึ', 'โอกะ', 'ที่สุด', 'ของ', 'รสชาติ', 'ชา', 'ญี่ปุ่น', 'แท้ๆ', 'ไม่', 'ว่า', 'จะ', 'ไปเที่ยว', 'ทริป', 'ไหน', 'ๆ', 'ก๊อ', 'ต', 'ก็', 'รู้สึก', 'เหมือน', 'ได้', 'ไปเที่ยว', 'ญี่ปุ่น', 'ตลอด', 'เพราะ', 'ก๊อ', 'ตพก', 'ชา', 'ชิ', 'ซึ', 'โอกะ', 'ไป', 'ด้วย', 'ทุกที่', 'เพิ่มเติม']",HashCorner
5,ปักกิ่ง,"9 แลนด์มาร์คเมืองปักกิ่ง / จีน
จึ้งมากต้องปักหมุด 🇨🇳
ไม่เชื่อก็ต้องเชื่อว่าปักกิ่งเค้าสุดต๊าซมาก
เพราะนี่คือเมืองหลวงของจีน
ที่ผสมความขลังของประวัติศาสตร์
และความติสและโมเดิร์นได้จี๊ดสุด
นี่เลยอยากแนะนำ 9… เพิ่มเติม",,2021-11-21 15:00:00,9แลนด์มาร์คเมืองปักกิ่ง/จีนจึ้งมากต้องปักหมุดไม่เชื่อก็ต้องเชื่อว่าปักกิ่งเค้าสุดต๊าซมากเพราะนี่คือเมืองหลวงของจีนที่ผสมความขลังของประวัติศาสตร์และความติสและโมเดิร์นได้จี๊ดสุดนี่เลยอยากแนะนำ9เพิ่มเติม,"['9', 'แลนด์', 'มาร์ค', 'เมือง', 'ปักกิ่ง', '/', 'จีน', 'จึ้ง', 'มาก', 'ต้อง', 'ปัก', 'หมุด', 'ไม่', 'เชื่อ', 'ก็', 'ต้อง', 'เชื่อ', 'ว่า', 'ปักกิ่ง', 'เค้า', 'สุด', 'ต๊าซ', 'มาก', 'เพราะ', 'นี่', 'คือ', 'เมืองหลวง', 'ของ', 'จีน', 'ที่', 'ผสม', 'ความขลัง', 'ของ', 'ประวัติศาสตร์', 'และ', 'ความ', 'ติ', 'ส', 'และ', 'โมเดิร์น', 'ได้', 'จี๊ด', 'สุด', 'นี่', 'เลย', 'อยาก', 'แนะนำ', '9', 'เพิ่มเติม']",HashCorner
6,,"5 สถานที่ ได้สัมผัสสงบ และผ่อนคลายใจกลางกรุงเทพ
Teyaki / สวนป่าเบญจกิติ / FIIKA. c&b / MOCA Museum of Contemporary Art / บ้านกลางเมือง The Edition สาทร-สุขสวัสดิ์
ปัจจุบันนี้รอบตัวเรามีแต่ความวุ่นวายเต็มไปหมด… เพิ่มเติม",,2021-11-17 17:39:00,5สถานที่ได้สัมผัสสงบและผ่อนคลายใจกลางกรุงเทพTeyaki/สวนป่าเบญจกิติ/FIIKA.c&b/MOCAMuseumofContemporaryArt/บ้านกลางเมืองTheEditionสาทร-สุขสวัสดิ์ปัจจุบันนี้รอบตัวเรามีแต่ความวุ่นวายเต็มไปหมดเพิ่มเติม,"['5', 'สถานที่', 'ได้', 'สัมผัส', 'สงบ', 'และ', 'ผ่อนคลาย', 'ใจกลาง', 'กรุงเทพ', 'Teyaki', '/', 'สวนป่า', 'เบญจ', 'กิ', 'ติ', '/', 'FIIKA', '.', 'c', '&', 'b', '/', 'MOCAMuseumofContemporaryArt', '/', 'บ้าน', 'กลางเมือง', 'TheEdition', 'สาทร', '-', 'สุข', 'สวัสดิ์', 'ปัจจุบันนี้', 'รอบ', 'ตัวเรา', 'มี', 'แต่', 'ความวุ่นวาย', 'เต็มไปหมด', 'เพิ่มเติม']",HashCorner
7,ไต้หวัน,"9 เหตุผลที่เราควรไปเที่ยวไต้หวันซักครั้งในชีวิต 🇹🇼
ใครไม่เคยไปไต้หวัน ก็ต้องมาอ่านแล้วแหละ เพราะไต้หวันเป็นอีกประเทศที่ควรค่าแก่การไปเที่ยวซักครั้งในชีวิตมาก ทั้งเรื่องกินที่มีของกินอร่อยๆในตลาดกลางคืนเยอะมาก… เพิ่มเติม",,2021-11-05 08:29:00,9เหตุผลที่เราควรไปเที่ยวไต้หวันซักครั้งในชีวิตใครไม่เคยไปไต้หวันก็ต้องมาอ่านแล้วแหละเพราะไต้หวันเป็นอีกประเทศที่ควรค่าแก่การไปเที่ยวซักครั้งในชีวิตมากทั้งเรื่องกินที่มีของกินอร่อยๆในตลาดกลางคืนเยอะมากเพิ่มเติม,"['9', 'เหตุผล', 'ที่', 'เรา', 'ควร', 'ไปเที่ยว', 'ไต้หวัน', 'ซัก', 'ครั้ง', 'ใน', 'ชีวิต', 'ใคร', 'ไม่', 'เคย', 'ไป', 'ไต้หวัน', 'ก็', 'ต้อง', 'มา', 'อ่าน', 'แล้ว', 'แหละ', 'เพราะ', 'ไต้หวัน', 'เป็น', 'อีก', 'ประเทศ', 'ที่', 'ควรค่า', 'แก่', 'การ', 'ไปเที่ยว', 'ซัก', 'ครั้ง', 'ใน', 'ชีวิต', 'มาก', 'ทั้ง', 'เรื่อง', 'กินที่', 'มี', 'ของกิน', 'อร่อย', 'ๆ', 'ใน', 'ตลาด', 'กลางคืน', 'เยอะ', 'มาก', 'เพิ่มเติม']",HashCorner
8,,"11 คาเฟ่สุดฮิตรอบกรุงเทพ ที่พลาดไม่ได้ 🍩 ☕️
อัดอั้นมานาน ในที่สุดเราก็ไปนั่งกินของอร่อยๆ ที่ร้านได้แล้ว
วันนี้ก๊อตเลยรวบรวม 11 คาเฟ่ ร้านสวยถ่ายรูปปัง และรสชาติอร่อย จากทั่วทุกสารทิศในกรุงเทพมาให้ทุกคนแล้ว… เพิ่มเติม",,2021-11-04 12:14:00,11คาเฟ่สุดฮิตรอบกรุงเทพที่พลาดไม่ได้อัดอั้นมานานในที่สุดเราก็ไปนั่งกินของอร่อยๆที่ร้านได้แล้ววันนี้ก๊อตเลยรวบรวม11คาเฟ่ร้านสวยถ่ายรูปปังและรสชาติอร่อยจากทั่วทุกสารทิศในกรุงเทพมาให้ทุกคนแล้วเพิ่มเติม,"['11', 'คาเฟ่', 'สุด', 'ฮิต', 'รอบ', 'กรุงเทพ', 'ที่', 'พลาด', 'ไม่', 'ได้', 'อัดอั้น', 'มา', 'นาน', 'ในที่สุด', 'เรา', 'ก็', 'ไป', 'นั่ง', 'กิน', 'ของ', 'อร่อย', 'ๆ', 'ที่', 'ร้าน', 'ได้', 'แล้ว', 'วันนี้', 'ก๊อ', 'ต', 'เลย', 'รวบรวม', '11', 'คาเฟ่', 'ร้าน', 'สวย', 'ถ่ายรูป', 'ปัง', 'และ', 'รสชาติ', 'อร่อย', 'จาก', 'ทั่วทุกสารทิศ', 'ใน', 'กรุงเทพ', 'มา', 'ให้', 'ทุกคน', 'แล้ว', 'เพิ่มเติม']",HashCorner
9,"""The Original Swensen's-San Francisco""","The Original Swensen's, San Francisco – California
ความตามล่าร้านสาขาแรกของโลกอะเนอะ 😋
ร้านนี้เป็นร้านสเวนเซ่นร้านแรกของโลก เปิดเมื่อปี 1948
ได้มาลองแล้ว อร่อยดีย์ 🍦
📸 : instagram.com/hashcorner
#อเมริกาคนเดียว",,2021-10-26 17:37:00,"TheOriginalSwensen's,SanFrancisco–Californiaความตามล่าร้านสาขาแรกของโลกอะเนอะร้านนี้เป็นร้านสเวนเซ่นร้านแรกของโลกเปิดเมื่อปี1948ได้มาลองแล้วอร่อยดีย์:instagram.com/hashcorner#อเมริกาคนเดียว","['TheOriginalSwensen', ""'"", 's', ',', 'SanFrancisco', '–', 'California', 'ความ', 'ตามล่า', 'ร้าน', 'สาขา', 'แรก', 'ของ', 'โลก', 'อะ', 'เนอะ', 'ร้าน', 'นี้', 'เป็น', 'ร้าน', 'ส', 'เวน', 'เซ่น', 'ร้าน', 'แรก', 'ของ', 'โลก', 'เปิด', 'เมื่อ', 'ปี', '1948', 'ได้มา', 'ลอง', 'แล้ว', 'อร่อย', 'ดี', 'ย์:', 'instagram', '.', 'com', '/', 'hashcorner', '#', 'อเมริกา', 'คนเดียว']",HashCorner
