,Place,Person,Post,Share,Date
0,,['HashCorner'],"Like A Mountain 🍑
คาเฟ่ใหม่ในเขาใหญ่ ที่ฮอตสุดตอนนี้
ปล. ฝากเพจใหม่อีกเพจด้วยนะค้าบ
HashHopper จะเป็นสายคาเฟ่ และร้านอาหาร ครับโผมมมม","เขาใหญ่ทักจ้าา 🙋🏻‍♂️
Like A Mountain Khao Yai คาเฟ่น้องใหม่สไตล์เกาหลีสุดมินิมอล
บรรยากาศสบาย ถ่ายรูปมุมไหนก็ปัง
ร้านนี้เค้ามีทั้งโซน Indoor และ Outdoor เลยด้วย
Indoor ก็น่ารัก ดูคลีนๆ ได้มู้ดเกาหลีกรุบ … เพิ่มเติม",2021-12-02 13:14:00
1,,['HashCorner'],"FORWARDING HAPPINESS 2022 🎁🎄
ถึงเวลาดูแสงไฟและถ่ายรูปฉลองสิ้นปี
กับศูนย์การค้าเซ็นทรัลที่ส่งต่อพลังความสุข
แทนคำขอบคุณที่อยู่เคียงข้างกันมาตลอด 40 ปี
งานไฟต๊าซๆ อลังการแบบนี้ ปีนึงมีครั้งเดียว … เพิ่มเติม",,2021-12-01 11:12:00
2,,"['HashCorner', 'เขาใหญ่']","9 ที่เที่ยวเขาใหญ่ เก็บครบจบปิ๊ง 🌳🏞
ทั้งอุทยานแห่งชาติเขาใหญ่ คาเฟ่ และที่พักจาก Booking.com
โพสต์นี้มีกิจกรรมให้ร่วมสนุก เพื่อชิงรางวัลเครดิตท่องเที่ยว
มูลค่ารวม 55,000 บาทจาก Booking.com ด้วยนะ!
… เพิ่มเติม",,2021-11-30 08:48:00
3,,"['HashCorner', 'Future Park & Zpell']","THE HAPPINESS OF GIVING 🎁🎉
ส่งต่อความสุขส่งท้ายปี 2021 ไปกับ
Happy Gift Happy Gang ที่ Future Park และ Zpell
อีกหนึ่งช่วงเวลาพิเศษที่หลายคนนั้นรอคอย
นั่นก็คือช่วงสิ้นปีแบบนี้นี่แหละ … เพิ่มเติม",,2021-11-29 12:53:00
4,,['HashCorner'],"เที่ยวไทยยังไงให้เหมือนได้ไปญี่ปุ่น
ชิซึโอกะ ที่สุดของรสชาติชาญี่ปุ่นแท้ๆ 🍵
ไม่ว่าจะไปเที่ยวทริปไหนๆ
ก๊อตก็รู้สึกเหมือนได้ไปเที่ยวญี่ปุ่นตลอด
เพราะก๊อตพกชาชิซึโอกะไปด้วยทุกที่
… เพิ่มเติม",,2021-11-22 16:24:00
5,,"['HashCorner', 'ปักกิ่ง']","9 แลนด์มาร์คเมืองปักกิ่ง / จีน
จึ้งมากต้องปักหมุด 🇨🇳
ไม่เชื่อก็ต้องเชื่อว่าปักกิ่งเค้าสุดต๊าซมาก
เพราะนี่คือเมืองหลวงของจีน
ที่ผสมความขลังของประวัติศาสตร์
และความติสและโมเดิร์นได้จี๊ดสุด
นี่เลยอยากแนะนำ 9… เพิ่มเติม",,2021-11-21 15:00:00
6,,['HashCorner'],"5 สถานที่ ได้สัมผัสสงบ และผ่อนคลายใจกลางกรุงเทพ
Teyaki / สวนป่าเบญจกิติ / FIIKA. c&b / MOCA Museum of Contemporary Art / บ้านกลางเมือง The Edition สาทร-สุขสวัสดิ์
ปัจจุบันนี้รอบตัวเรามีแต่ความวุ่นวายเต็มไปหมด… เพิ่มเติม",,2021-11-17 17:39:00
7,,"['HashCorner', 'ไต้หวัน']","9 เหตุผลที่เราควรไปเที่ยวไต้หวันซักครั้งในชีวิต 🇹🇼
ใครไม่เคยไปไต้หวัน ก็ต้องมาอ่านแล้วแหละ เพราะไต้หวันเป็นอีกประเทศที่ควรค่าแก่การไปเที่ยวซักครั้งในชีวิตมาก ทั้งเรื่องกินที่มีของกินอร่อยๆในตลาดกลางคืนเยอะมาก… เพิ่มเติม",,2021-11-05 08:29:00
8,,['HashCorner'],"11 คาเฟ่สุดฮิตรอบกรุงเทพ ที่พลาดไม่ได้ 🍩 ☕️
อัดอั้นมานาน ในที่สุดเราก็ไปนั่งกินของอร่อยๆ ที่ร้านได้แล้ว
วันนี้ก๊อตเลยรวบรวม 11 คาเฟ่ ร้านสวยถ่ายรูปปัง และรสชาติอร่อย จากทั่วทุกสารทิศในกรุงเทพมาให้ทุกคนแล้ว… เพิ่มเติม",,2021-11-04 12:14:00
9,,"['HashCorner', ""The Original Swensen's-San Francisco""]","The Original Swensen's, San Francisco – California
ความตามล่าร้านสาขาแรกของโลกอะเนอะ 😋
ร้านนี้เป็นร้านสเวนเซ่นร้านแรกของโลก เปิดเมื่อปี 1948
ได้มาลองแล้ว อร่อยดีย์ 🍦
📸 : instagram.com/hashcorner
#อเมริกาคนเดียว",,2021-10-26 17:37:00
10,,"['HashCorner', 'ม่อนแจ่ม']","ม่อนแจ่ม เชียงใหม่ ⛰🌼
นี่ก็เดือนตุลาแล้วด้วย เข้าใกล้ช่วงปลายฝนต้นหนาวเข้ามาทุกที เผลอแปปเดียวก็จะหมดปีนี้แล้วอ่ะ ปลายปีแบบนี้..ภาคเหนือถือเป็นอีกจุดหมายปลายทางอันดับต้นๆ ที่คนไทยและต่างชาติอยากจะไปเที่ยวกัน… เพิ่มเติม",,2021-10-20 08:48:00
11,,['HashCorner'],"วันนี้จะมาบอกเคล็ดลับการเติมเต็มความสุขง่ายๆ ในระยะเวลาสั้นๆ ที่ทุกคนสามารถลองไปทำตามกันได้ในทุกวันด้วย NESCAFÉ RED CUP แก้วนี้
การได้เริ่มต้นวันที่ดีด้วยการฟังเพลงเพราะๆ และดื่มกาแฟสดดีๆ… เพิ่มเติม",,2021-10-19 08:00:00
12,,"['HashCorner', 'New York City, N.Y.']","อยู่นิวยอร์กแล้วน้าาา 🧡
เมืองสุดท้ายก่อนจบทริปอเมริกา 44 วัน เร็วมากก
ที่หายๆ ไปช่วงนี้ เพราะเที่ยวอยู่นี่แหละ 5555
ในนิวยอร์ก ใครมีอะไรเด็ดๆ แนะนำ
หรือต้องห้ามพลาดครับ 🙌🏻
เผื่อไปตามรอย 5555
📸 instagram.com/hashcorner
#อเมริกาคนเดียว",,2021-10-17 11:54:00
13,,"['HashCorner', 'ชิคาโก']","ชิคาโก้ (Chicago) x vivo X70 Pro 5G 🇺🇸
21 จุดเช็คอิน ต้องไปเมื่อได้มาเที่ยวชิคาโก้
ชิคาโก้ เมืองใหญ่อับดับ 3 ของอเมริกาที่ดังทั้งเรื่องสถาปัตยกรรมของตึกสูง และตอกย้ำความเก๋าด้วยแชมป์เก่า ตึกสูงที่สุดในโลกเกือบ… เพิ่มเติม",,2021-10-10 10:10:00
14,,"['HashCorner', 'Downey, California']","The Oldest McDonald’s - Downey, California
นี่เป็น McDonald’s แบบออริจินอลโดยพี่น้องแมคโดนัลด์ สาขาที่ 3 ของโลก (เปิดเมื่อปี 1953) และยังเป็นสาขาที่มีอายุมากที่สุดในโลกตอนนี้ที่ยังเปิดขายอยู่จนถึงปัจจุบันแหละ … เพิ่มเติม",,2021-10-05 10:09:00
15,,"['HashCorner', 'Disneyland/Califonia Adventure']","ไปดิสนีย์แลนด์มาทั้งหมด 5 ที่แล้ว ทั้งญี่ปุ่น จีน ฝรั่งเศส ฮ่องกง และอเมริกาที่แคลิฟอร์เนีย ซึ่งที่นี่แหละคือนัมเบอร์วันของก๊อตตอนนี้
ดีเริ่ดด เครื่องเล่นสนุก พร็อพฉาก แสงสีเสียงคือปัง ทั้ง Disneyland Park และ… เพิ่มเติม",,2021-10-04 15:48:00
16,,"['HashCorner', 'Life Asoke Hype']","LIFE ASOKE HYPE - THE FIRST BOUTIQUE CONDOMINIUM แห่งแรกในย่านพระราม 9
วันนี้ก๊อตจะพาทุกคนไปรู้จัก LIFE ASOKE HYPE คอนโดพร้อมอยู่ใจกลางย่าน CBD แห่งใหม่ของกรุงเทพ จากค่าย AP THAILAND ที่โดดเด่นด้วยการออกแบบ… เพิ่มเติม",,2021-09-20 10:00:00
