,Place,Person,Post,Share,Date
0,,['ไปกันนะ : Pai Gun Na'],"นี่คือรีสอร์ตที่ได้ชื่อว่า #หรูหราที่สุดในภูเก็ต!
..สักครั้งในชีวิตต้องไป! 🌴
หากจะนิมยามความเป็น ตรีสรา ได้
คงเป็นที่ความสวยงามอลังการงานสร้าง
พูลวิลล่าที่มีความเป็นส่วนตัวที่สุด
มีหาดส่วนตัวจริงๆ… เพิ่มเติม",,2021-12-04 19:18:53.783615
1,,['ไปกันนะ : Pai Gun Na'],"ไปดูไฟสวยๆ ท่ามกลางอากาศหนาวๆริมแม่น้ำกก ✨
ในโรงแรมหรูกลางเมืองเชียงราย เริ่มต้นห้องละ 2,999.-
เข้าพักวันนี้ถึง 28 กุมภาพันธ์ 2565
ทางไปจอง : http://bit.ly/TH-Special-RIV
วันนี้ ที่ The Riverie by Katathani… เพิ่มเติม",,2021-12-03 19:59:00.000000
2,,['ไปกันนะ : Pai Gun Na'],"#อีก15วัน จะได้ออกเดินทางแล้วน้า 💙
กับทริปในฝัน ส่งท้ายปีที่ ‘Switzerland 🇨🇭
ทริปนี้จะพาตะลุยเมืองหิมะสุดสวย
,เทศกาลคริสต์มาสที่เมืองเทพนิยาย
และพักรีสอร์ตสุดพีคบนยอดเขาหิมะ
#สำหรับพี่ๆเอเจนซี่ และลูกค้าทุกท่าน… เพิ่มเติม",,2021-12-02 18:22:00.000000
3,,['ไปกันนะ : Pai Gun Na'],"#วันนี้ ซื้อรองเท้า Sperry x John Legend
#ลุ้นพักฟรี “Ocean Front” ที่ Veranda Resort Pattaya
หรือลุ้นฟรี หรือลำโพง Bang & Olufsen สุดเจ๋งไปเลย!⚡️
ทำงานกันมาอย่างหนักหน่วงแล้วใช่มั้ย?
ออมนัทและ Sperry… เพิ่มเติม",,2021-12-01 12:14:00.000000
4,,['ไปกันนะ : Pai Gun Na'],"#ขอให้เป็นปีที่ดียิ่งกว่าเดิม ♥️✨
ใกล้เข้าสู่ช่วงเทศกาลปีใหม่เข้ามาทุกที
ออมนัทอยากให้เพื่อนๆ
ได้เริ่มต้นวันใหม่ที่ดีกว่าในทุกๆเช้า
ส่งต่อความสุขให้กันได้ในทุกๆวัน ☕️
ด้วยกล่องของขวัญปีใหม่สุดน่ารัก
กับ NESCAFÉ… เพิ่มเติม",,2021-11-30 18:22:00.000000
5,,['ไปกันนะ : Pai Gun Na'],"𝗧𝗵𝗲 𝗦𝘁𝗮𝗻𝗱𝗮𝗿𝗱 𝗛𝘂𝗮 𝗛𝗶𝗻 🌴
#โรงแรมติดทะเลหัวหินเปิดใหม่ 1 ธันวาคมนี้ ✨
ยกโรงแรมสุดฮิพจากไมอามี่
มาไว้ริมทะเลหัวหิน
ห้องพักโดดเด่นด้านงานดีไซน์ที่เป็นเอกลักษณ์
ตั้งแต่ก้าวเดินเข้าสู่พื้นที่โรงแรม… เพิ่มเติม",,2021-11-27 21:23:00.000000
6,,['ไปกันนะ : Pai Gun Na'],"สวยมากกกกก! ทะเลไทยตอนนี้ #ไม่ไปไม่ได้แล้ว 🏝
⚡️ แจกโค้ดส่วนลด 500.-!!! ⚡️
#ต้องจอง โปรโมชั่นนี้..รีบไปก่อนเปิดประเทศ
โอกาสดีๆที่จะได้ไปเห็น
ไปสัมผัสความสวยงาม
ของทะเลไทยบ้านเรา แบบไร้ผู้คน
นักท่องเที่ยวไม่เยอะ… เพิ่มเติม",,2021-11-26 20:29:00.000000
7,,['ไปกันนะ : Pai Gun Na'],"นี่คือที่พักในเขาหลัก พักสบายกับบรรยากาศวิวทะเล
ฝั่งพระอาทิตย์ตกดินที่สวยที่สุดในไทย! 🧡
ช่วงนี้ทะเลไทยปังมากๆ 🏝
ใครกำลังอยากไปเที่ยวทะเล
พวกเกาะสิมิลัน เกาะสุรินทร์
หรืออยากนอนชิลๆอยู่ที่เขาหลัก… เพิ่มเติม",,2021-11-25 19:45:00.000000
8,,['ไปกันนะ : Pai Gun Na'],"#เซอร์ไพรส์สุด คอไอติมต้องห้ามพลาด! 💜
Tag คนรัก คนรู้จัก
มาอร่อยฟินๆ..กินไอติมกับคนที่เรารัก
ออมนัทเปลี่ยนสวนหน้าบ้านเป็นปิคนิคไอติม
ท่ามกลางอากาศที่กำลังลดลง..ได้ฟีลสุดๆ
ยิ่งมีไอติมอร่อยๆเพิ่มความสดชื่น
… เพิ่มเติม",,2021-11-24 19:25:00.000000
9,,['ไปกันนะ : Pai Gun Na'],"#แจกลายแทง 16 พูลวิลล่า..ภูเก็ต 🏝
สวย! ปัง! พักสบาย และมั่นใจว่าปลอดภัย
ได้รับมาตรฐาน ระดับ SHA Plus
ที่ออมนัทไปพักมาแล้ว คัดเน้นๆมาให้เพื่อนๆ
ตามไปพักได้เลย..มีที่ไหนบ้างไปดู!
#ที่พัก
-Sri panwa
-The Racha… เพิ่มเติม",,2021-11-20 18:42:00.000000
10,,['ไปกันนะ : Pai Gun Na'],"Pool Villa สุดโรแมนติก..วิวพระอาทิตย์ตกสุดอลังการ
#โปรเราเที่ยวด้วยกันเฟส3 คืนละ 4,999.- !!!! 🌴🧡
The Shore at Katathani จ.ภูเก็ต
ออมนัทชวนไปนอนพูลวิลล่าวิวทะเลสวยที่สุดในภูเก็ต
ไม่มีรีสอร์ตที่ไหน… เพิ่มเติม",,2021-11-18 21:15:00.000000
11,,['ไปกันนะ : Pai Gun Na'],"#โปรปังๆ เอาใจคนรักสระว่ายน้ำ เริ่มต้นคืนละ 999.-!! 🌴
The Waters Khao Lak เขาหลัก จ.พังงา 💦
โรงแรมที่มีห้องติดสระน้ำมากที่สุดในเขาหลัก
บนพื้นน้ำกว่า 3000 ตร.ม. มีสระว่ายน้ำถึง 7 สระ… เพิ่มเติม",,2021-11-12 19:45:00.000000
12,,"['ไปกันนะ : Pai Gun Na', 'Sri panwa']",เปิดวิลล่า #ศรีพันวา 4 ห้องนอน ราคา 200 ล้านบาท!!! 🌴,,2021-11-12 11:31:00.000000
13,,['ไปกันนะ : Pai Gun Na'],"อยู่กับเธอคือเวลาโปรดของฉัน 🧡
IG - paigunna
#ไปกันนะ
· ให้คะแนนคำแปล",,2021-11-10 20:37:00.000000
14,,['ไปกันนะ : Pai Gun Na'],"#นอนเกาะพีพี คืนละ 700 บาท!!! 🌴
Chunut House Resort
ออมนัทมาแนะนำที่พักราคาเบาๆ
มีสระว่ายน้ำ ชิคสุดๆ ได้ฟิลติดเกาะ
ไม่น่าเชื่อว่าราคาเท่านี้ แต่อยู่สบายที่สุด!
อาหารอร่อยมาก..มากๆๆๆ
ที่นี่เค้ามีคาเฟ่ด้วยนะ … เพิ่มเติม",,2021-11-09 20:33:00.000000
15,,['ไปกันนะ : Pai Gun Na'],"#เกาะพีพีวันนี้..มันสวยมากกกกก! 🌴
อ่าวปิเละน้ำใสกริ๊ง! ใต้น้ำสุดปัง!
เหมือนเล่นสระว่ายน้ำท่ามกลางทะเล
กับวิวเขาสวยอลังการระดับโลก!
ออมนัทอยากให้เพื่อนๆ มาเห็น! มาดู!
มาสัมผัสด้วยตาตัวเองให้ได้ตอนนี้!… เพิ่มเติม",,2021-11-06 19:58:00.000000
16,,"['ไปกันนะ : Pai Gun Na', 'Pileh Lagoon - Phi Phi Islands']",มาต่อจ้า..ต้องมาดูแล้ว ปิเละลากูนที่สุดของไทย 🌴✨,,2021-11-06 10:30:00.000000
17,,"['ไปกันนะ : Pai Gun Na', 'Pileh Lagoon - Phi Phi Islands']",มาซ้ำอีกแล้ว..ปิเละลากูนสวยม้ากกก 💙,,2021-11-06 10:22:00.000000
18,,['ไปกันนะ : Pai Gun Na'],"#ใครคิดถึงเกาหลีมาทางนี้ ออมนัทมีกิจกรรมดีๆมาบอก ✨
Korea Content Creator Award 2021 🇰🇷
หัวข้อ “ตัวอยู่ไทย แต่ใจอยู่เกาหลี~~ไปเที่ยวทิพย์กันเลย”
รับเงินรางวัลมูลค่ารวมกว่า 200,000 บาท!!!
… เพิ่มเติม",,2021-11-04 13:55:00.000000
