,Place,Person,Post,Share,Date
0,,['Go See It ไปให้รู้ ออกไปดูให้เห็น'],"เที่ยวคิวชู (Kyushu) มือใหม่ใครๆ ก็ไปได้
ชวนมาตกหลุมรักญี่ปุ่นมุมใหม่ สายธรรมชาติ สายบุญ สายช้อป ไม่ว่าสายไหนก็ครบจบในที่เดียว เพราะคิวชู เป็นทุกอย่างให้พวกเธอแล้ว ถ้าพร้อมแล้วก็ชวนเพื่อนกดจองตั๋วบินไปฟุกุโอกะ… เพิ่มเติม",,2020-01-14 08:39:00
1,,['Go See It ไปให้รู้ ออกไปดูให้เห็น'],"รวมลิสต์ 15 คาเฟ่ อารีย์ - ประดิพัทธ์
—
ย่านนี้เค้าขึ้นชื่อเหลือเกินว่าคาเฟ่เยอะมาก หลงเข้ามาแถวนี้แล้วไม่ได้กลับบ้านง่าย ๆ แน่ ถึงแม้รถจะติด ที่จอดรถจะน้อย แต่ก็เป็นย่านเด็ดที่สายคาเฟ่เค้าเลิฟมาก… เพิ่มเติม",,2021-12-02 07:56:00
2,,['Go See It ไปให้รู้ ออกไปดูให้เห็น'],"เริ่มเลอออ...ได้เวลาส่องให้รู้ ดูให้เห็น แล้วจะพบความจริงที่อยู่ข้างใน
—
ปลุกความเผือกของทุกคนออกมา แล้วตามไปส่องความจริง 5 มุมมอง ของ 5 ตัวละคร จากภาพยนตร์ The Whole Truth ปริศนารูหลอน หนังใหม่จาก Netflix… เพิ่มเติม",,2021-12-01 20:01:00
3,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'Future Park Society']","🎄🎅🏻🎁 Let's Celebrate 2022 เทศกาลแห่งความสุขเริ่มขึ้นแล้ว
—
อย่ามัวรอช้ารีบเลย แต่งตัวน่ารัก ๆ แล้วมาเดินหามุมถ่ายรูปสวย ๆ ก่อนใครได้ที่ฟิวเจอร์พาร์ค และสเปลล์ กับต้นคริสต์มาสใหญ่ยักษ์อลังการ ตกแต่งแบบจัดเต็ม… เพิ่มเติม",,2021-11-30 11:43:00
4,,['Go See It ไปให้รู้ ออกไปดูให้เห็น'],"หนาวนี้อย่าเดี๋ยว เที่ยวเลย - เชียงคาน สนุกยาว ๆ เช้ายันค่ำ
อ่านรีวิวเต็ม คลิก : https://bit.ly/312Gw6X
—
ไปเลย ไปเลย ไปเลย ปลายปีดีแน่นอน เที่ยวอีสานแบบฟิน ๆ ชวนกันไปเลย ถ้าพูดถึงจังหวัดเลย อำเภอเชียงคาน… เพิ่มเติม",,2021-11-26 10:12:00
5,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'เชียงใหม่ ประเทศไทย']","เที่ยวทุ่งดอกไม้เชียงใหม่ สวยปังอลังการ ถ่ายรูปเพลิน
—
ลมหนาวมา เข้าสู่ปลายปีแบบนี้ พิกัดเที่ยวสุดฮิตของเชียงใหม่ก็ต้องยกให้สวนดอกไม้บานสะพรั่ง สีสันคัลเลอร์ฟูล มีทั้งทุ่งดอกมาร์กาเร็ต ทุ่งคอสมอส ซีโลเซียหลากสี… เพิ่มเติม",,2021-11-18 07:21:00
6,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'Kanchanaburi, Thailand']","รวมพิกัดน่าเที่ยว กาญจนบุรี ไปกี่ทีก็ไม่มีเบื่อ
—
กาญจนบุรี อีกหนึ่งจังหวัดที่เที่ยวเยอะมาก เที่ยวได้ทั้งปี มากี่ทีก็ได้รูปปัง ๆ ออกไปเที่ยวให้หายคิดถึงกาญจน์ ทริปเดียวเที่ยวครบ ป้อนอาหารยีราฟ อาบน้ำช้าง… เพิ่มเติม",,2021-11-17 13:45:00
7,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'Khon Kaen, Thailand']","ขอนแก่น ม่วนอีหลี เช็คอิน กินเที่ยว ถิ่นอีสาน
อ่านรีวิวเต็ม คลิก : https://bit.ly/30g7cAS
—
ขอนแก่น จังหวัดน่าเที่ยวอันดับต้น ๆ ในภาคอีสาน ที่คึกคักเป็นพิเศษ ด้วยความที่ขอนแก่นเป็นเมืองใหญ่… เพิ่มเติม",,2021-11-12 13:42:00
8,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'Phuket, Thailand']","40 จุดเช็คอิน - ภูเก็ต
—
Phuket is calling...รวมมาให้แล้วพิกัดเที่ยวภูเก็ต เด็ดทั้งเกาะ ทะเล จุดชมวิว คาเฟ่ ร้านมิชลินไกด์ จัดให้ครบ เที่ยวกันแบบจุก ๆ #แชร์เก็บไว้เลย ทริปล่องใต้สุดปัง… เพิ่มเติม",,2021-11-07 19:38:00
9,,"['Go See It ไปให้รู้ ออกไปดูให้เห็น', 'เชียงใหม่ ประเทศไทย']","40 จุดเช็คอิน - เชียงใหม่
—
เชียงใหม่ปลายปีดีต่อใจ ชวนเก็บกระเป๋า หยิบกล้อง แล้วขึ้นเหนือไปแอ่วเจียงใหม่ สัมผัสธรรมชาติสวย ๆ อากาศดี ๆ ยิ่งถ้าได้มาช่วงนี้นะมีสวนดอกไม้สวย ๆ ไร่ส้มตั่ง ๆ คือปังมาก… เพิ่มเติม",,2021-11-06 21:43:00
