,Place,Post,Share,Date,CPost,WPost,Page
0,,"ไ่ม่มีใครดูแลเรา ได้เท่ากับเราดูแลตัวเอง :)
แม่คอยสอนตั้งแต่เด็กๆว่าให้เราคอยดูแลตัวเอง เพราะการมีสุขภาพดีมันเป็นความรับผิดชอบทั้งต่อตัวเองและคนรอบตัว เพราะแม่ไม่ชอบลำบากใคร
… เพิ่มเติม",,2021-12-04 18:06:02,ไ่ม่มีใครดูแลเราได้เท่ากับเราดูแลตัวเอง:)แม่คอยสอนตั้งแต่เด็กๆว่าให้เราคอยดูแลตัวเองเพราะการมีสุขภาพดีมันเป็นความรับผิดชอบทั้งต่อตัวเองและคนรอบตัวเพราะแม่ไม่ชอบลำบากใครเพิ่มเติม,"['ไ่ม่', 'มี', 'ใคร', 'ดูแล', 'เรา', 'ได้', 'เท่ากับ', 'เรา', 'ดูแลตัวเอง', ':)', 'แม่', 'คอย', 'สอน', 'ตั้งแต่', 'เด็ก', 'ๆ', 'ว่า', 'ให้', 'เรา', 'คอย', 'ดูแลตัวเอง', 'เพราะ', 'การ', 'มี', 'สุขภาพ', 'ดี', 'มัน', 'เป็น', 'ความรับผิดชอบ', 'ทั้ง', 'ต่อ', 'ตัวเอง', 'และ', 'คน', 'รอบตัว', 'เพราะ', 'แม่', 'ไม่', 'ชอบ', 'ลำบาก', 'ใคร', 'เพิ่มเติม']",I Roam Alone
1,,"สเปน - จุดเริ่มต้น 'เดินทางคนเดียว'
จะเป็นยังไง? ถ้าลองทำแบบเดิมเหมือน 10 ปีที่แล้วทุกอย่าง! ไปกดกริ่งขอดูอพาร์ทเม้นท์เดิมที่เคยอยู่ เดินถนนเส้นเดิม กินอาหารแบบเดิม เจอเพื่อนคนเดิมๆที่ไม่เจอมานาาาาาน… เพิ่มเติม",,2021-12-02 19:01:00,สเปน-จุดเริ่มต้น'เดินทางคนเดียว'จะเป็นยังไง?ถ้าลองทำแบบเดิมเหมือน10ปีที่แล้วทุกอย่าง!ไปกดกริ่งขอดูอพาร์ทเม้นท์เดิมที่เคยอยู่เดินถนนเส้นเดิมกินอาหารแบบเดิมเจอเพื่อนคนเดิมๆที่ไม่เจอมานาาาาานเพิ่มเติม,"['สเปน', '-', 'จุดเริ่มต้น', ""'"", 'เดินทาง', 'คนเดียว', ""'"", 'จะ', 'เป็น', 'ยังไง', '?', 'ถ้า', 'ลอง', 'ทำ', 'แบบ', 'เดิม', 'เหมือน', '10', 'ปี', 'ที่แล้ว', 'ทุกอย่าง', '!', 'ไป', 'กดกริ่ง', 'ขอ', 'ดู', 'อพาร์ทเม้นท์', 'เดิม', 'ที่', 'เคย', 'อยู่', 'เดิน', 'ถนน', 'เส้น', 'เดิม', 'กิน', 'อาหาร', 'แบบ', 'เดิม', 'เจอ', 'เพื่อน', 'คน', 'เดิม', 'ๆ', 'ที่', 'ไม่', 'เจอ', 'มา', 'นา', 'าาาาน', 'เพิ่มเติม']",I Roam Alone
2,,"รูปเมื่อ 10 ปีที่แล้วตอนอยู่สเปน คายซาลาเปาออกมาก่อน 555
ในวันที่เหนื่อยๆ ลองหันกลับไปมองข้างหลังดูเส้นทางที่เดินผ่านมา ก็อาจจะเห็นว่า เฮ้ย! เราเดินมาไกลเหมือนกันนะ
กลับมาสเปนครั้งนี้หลังจากไม่ได้กลับมาตั้ง 10… เพิ่มเติม",,2021-12-01 19:00:00,รูปเมื่อ10ปีที่แล้วตอนอยู่สเปนคายซาลาเปาออกมาก่อน555ในวันที่เหนื่อยๆลองหันกลับไปมองข้างหลังดูเส้นทางที่เดินผ่านมาก็อาจจะเห็นว่าเฮ้ย!เราเดินมาไกลเหมือนกันนะกลับมาสเปนครั้งนี้หลังจากไม่ได้กลับมาตั้ง10เพิ่มเติม,"['รูป', 'เมื่อ', '10', 'ปี', 'ที่แล้ว', 'ตอน', 'อยู่', 'สเปน', 'คาย', 'ซาลาเปา', 'ออกมา', 'ก่อน', '555', 'ใน', 'วันที่', 'เหนื่อย', 'ๆ', 'ลอง', 'หันกลับ', 'ไป', 'มอง', 'ข้างหลัง', 'ดู', 'เส้นทาง', 'ที่', 'เดินผ่าน', 'มา', 'ก็', 'อาจจะ', 'เห็น', 'ว่า', 'เฮ้ย', '!', 'เรา', 'เดิน', 'มา', 'ไกล', 'เหมือนกัน', 'นะ', 'กลับมา', 'สเปน', 'ครั้งนี้', 'หลังจาก', 'ไม่', 'ได้', 'กลับมา', 'ตั้ง', '10', 'เพิ่มเติม']",I Roam Alone
3,,"หิวตอนเที่ยงคืนทำยังไง?
กินอะไรไม่อ้วน ไม่กรดไหลย้อน!
อยากกินก็ไปนี่เลย
Line : @koreadong
Koreadong โคเรียดอง - อาหารเกาหลีดอง
#สงครามหน้าตู้เย็น",,2021-11-22 18:00:00,หิวตอนเที่ยงคืนทำยังไง?กินอะไรไม่อ้วนไม่กรดไหลย้อน!อยากกินก็ไปนี่เลยLine:@koreadongKoreadongโคเรียดอง-อาหารเกาหลีดอง#สงครามหน้าตู้เย็น,"['หิว', 'ตอน', 'เที่ยงคืน', 'ทำ', 'ยังไง', '?', 'กิน', 'อะไร', 'ไม่', 'อ้วน', 'ไม่', 'กรด', 'ไหล', 'ย้อน', '!', 'อยาก', 'กิน', 'ก็', 'ไป', 'นี่', 'เลย', 'Line', ':@', 'koreadongKoreadong', 'โค', 'เรียด', 'อง', '-', 'อาหาร', 'เกาหลี', 'ดอง', '#', 'สงคราม', 'หน้า', 'ตู้เย็น']",I Roam Alone
4,,พาเดินสวน เล่าเรื่องสนุกๆที่สเปน ;),,2021-11-21 22:25:00,พาเดินสวนเล่าเรื่องสนุกๆที่สเปน;),"['พา', 'เดินสวน', 'เล่าเรื่อง', 'สนุก', 'ๆ', 'ที่', 'สเปน', ';)']",I Roam Alone
5,,"มิ้นท์กำลังเดินทางไปสเปนค่ะ เป็นการกลับสู่จุดเริ่มต้นครั้งแรกของ I Roam Alone เมื่อ 10 ปีที่แล้ว
มิ้นท์เคยเรียนปริญญาโทที่นี่ เริ่มต้นเดินทางแบ๊คแพ๊คครั้งแรกก็ที่นี่ ได้แรงบันดาลใจในการเดินทางคนเดียว… เพิ่มเติม",,2021-11-19 09:00:00,มิ้นท์กำลังเดินทางไปสเปนค่ะเป็นการกลับสู่จุดเริ่มต้นครั้งแรกของIRoamAloneเมื่อ10ปีที่แล้วมิ้นท์เคยเรียนปริญญาโทที่นี่เริ่มต้นเดินทางแบ๊คแพ๊คครั้งแรกก็ที่นี่ได้แรงบันดาลใจในการเดินทางคนเดียวเพิ่มเติม,"['มิ้นท์', 'กำลัง', 'เดินทาง', 'ไป', 'สเปน', 'ค่ะ', 'เป็นการ', 'กลับ', 'สู่', 'จุดเริ่มต้น', 'ครั้งแรก', 'ของ', 'IRoamAlone', 'เมื่อ', '10', 'ปี', 'ที่แล้ว', 'มิ้นท์', 'เคย', 'เรียน', 'ปริญญาโท', 'ที่นี่', 'เริ่มต้น', 'เดินทาง', 'แบ๊คแพ๊ค', 'ครั้งแรก', 'ก็', 'ที่นี่', 'ได้', 'แรงบันดาลใจ', 'ใน', 'การ', 'เดินทาง', 'คนเดียว', 'เพิ่มเติม']",I Roam Alone
6,,"เวลาอวยพรใคร จะขอให้จิตใจแข็งแรง เพราะเวลาจิตเราดี อะไรๆก็ดีไปหมด
เวลาจิตใจแข็งแรง มันก็เหมือนใส่แว่นตาสะอาดๆ มองเห็นชัด คนรอบข้างดีเราก็มองเห็น ความรู้สึกดีๆ ความโชคดีในชีวิตมองเห็นหมด
แต่เวลาจิตไม่ดี… เพิ่มเติม",,2021-11-18 19:30:00,เวลาอวยพรใครจะขอให้จิตใจแข็งแรงเพราะเวลาจิตเราดีอะไรๆก็ดีไปหมดเวลาจิตใจแข็งแรงมันก็เหมือนใส่แว่นตาสะอาดๆมองเห็นชัดคนรอบข้างดีเราก็มองเห็นความรู้สึกดีๆความโชคดีในชีวิตมองเห็นหมดแต่เวลาจิตไม่ดีเพิ่มเติม,"['เวลา', 'อวยพร', 'ใคร', 'จะ', 'ขอให้', 'จิตใจ', 'แข็งแรง', 'เพราะ', 'เวลา', 'จิต', 'เรา', 'ดี', 'อะไร', 'ๆ', 'ก็ดี', 'ไป', 'หมดเวลา', 'จิตใจ', 'แข็งแรง', 'มัน', 'ก็', 'เหมือน', 'ใส่', 'แว่นตา', 'สะอาด', 'ๆ', 'มอง', 'เห็นชัด', 'คน', 'รอบข้าง', 'ดี', 'เรา', 'ก็', 'มองเห็น', 'ความรู้สึก', 'ดี', 'ๆ', 'ความโชคดี', 'ใน', 'ชีวิต', 'มองเห็น', 'หมด', 'แต่', 'เวลา', 'จิต', 'ไม่', 'ดี', 'เพิ่มเติม']",I Roam Alone
7,,ชวนคุย: ถ้าจะต้องเลือกระหว่างงานดี แฟนดี ผิวดี จิตดี คนรอบตัวดี เลือกอะไรดีและเพราะอะไรคะ?,,2021-11-17 19:42:00,ชวนคุย:ถ้าจะต้องเลือกระหว่างงานดีแฟนดีผิวดีจิตดีคนรอบตัวดีเลือกอะไรดีและเพราะอะไรคะ?,"['ชวน', 'คุย', ':', 'ถ้า', 'จะ', 'ต้อง', 'เลือก', 'ระหว่าง', 'งาน', 'ดี', 'แฟน', 'ดี', 'ผิ', 'วดี', 'จิต', 'ดี', 'คน', 'รอบ', 'ตัวดี', 'เลือก', 'อะไร', 'ดี', 'และ', 'เพราะอะไร', 'คะ', '?']",I Roam Alone
8,,"เสื้อวง I Roam Alone มาอยู่แก็งค์เรามาาาาา 5555
เพลงยังไม่มา วงยังไม่มี แต่มีเสื้อวงแล้วค่ะ เสื้อ Limited Edition จากซิงเกิลแรก I SING ALONE ‘ทำไมไม่เชื่อแม่’ มีแค่ 1,000 ตัว ทำแล้วโยนพิมพ์ทิ้งเข้าป่าข้างบ้าน… เพิ่มเติม",,2021-11-14 14:15:00,"เสื้อวงIRoamAloneมาอยู่แก็งค์เรามาาาาา5555เพลงยังไม่มาวงยังไม่มีแต่มีเสื้อวงแล้วค่ะเสื้อLimitedEditionจากซิงเกิลแรกISINGALONE‘ทำไมไม่เชื่อแม่’มีแค่1,000ตัวทำแล้วโยนพิมพ์ทิ้งเข้าป่าข้างบ้านเพิ่มเติม","['เสื้อ', 'วง', 'IRoamAlone', 'มา', 'อยู่', 'แก็งค์', 'เรา', 'มา', 'าาาา', '5555', 'เพลง', 'ยัง', 'ไม่', 'มา', 'วง', 'ยัง', 'ไม่', 'มี', 'แต่', 'มี', 'เสื้อ', 'วง', 'แล้ว', 'ค่ะ', 'เสื้อ', 'LimitedEdition', 'จาก', 'ซิงเกิล', 'แรก', 'ISINGALONE', '‘', 'ทำไม', 'ไม่', 'เชื่อ', 'แม่', '’', 'มี', 'แค่', '1,000', 'ตัว', 'ทำ', 'แล้ว', 'โยน', 'พิมพ์', 'ทิ้ง', 'เข้า', 'ป่า', 'ข้าง', 'บ้าน', 'เพิ่มเติม']",I Roam Alone
9,,"ความรักไม่ได้เข้าตา... ผมม้าอ่ะเข้า!
ลุคนี้ แมวนี่ลุกขึ้นยืน แล้วเดินมากัดเลยคับ 555 แมวจำไม่ได้
เมื่อบอกเพื่อนว่าอยากเปลี่ยนลุค และนี่คือสิ่งที่เพื่อนส่งมาให้ พร้อมบอกว่า 'ชั้นยังเก็บเสื้อขาวให้แก' โอ้ยยยย
#… เพิ่มเติม",,2021-11-10 19:01:00,ความรักไม่ได้เข้าตา...ผมม้าอ่ะเข้า!ลุคนี้แมวนี่ลุกขึ้นยืนแล้วเดินมากัดเลยคับ555แมวจำไม่ได้เมื่อบอกเพื่อนว่าอยากเปลี่ยนลุคและนี่คือสิ่งที่เพื่อนส่งมาให้พร้อมบอกว่า'ชั้นยังเก็บเสื้อขาวให้แก'โอ้ยยยย#เพิ่มเติม,"['ความรัก', 'ไม่', 'ได้', 'เข้าตา', '...', 'ผมม้า', 'อ่ะ', 'เข้า', '!', 'ลุค', 'นี้', 'แมว', 'นี่', 'ลุกขึ้น', 'ยืน', 'แล้ว', 'เดิน', 'มา', 'กัด', 'เลย', 'คับ', '555', 'แมว', 'จำ', 'ไม่', 'ได้', 'เมื่อ', 'บอก', 'เพื่อน', 'ว่า', 'อยาก', 'เปลี่ยน', 'ลุค', 'และ', 'นี่', 'คือ', 'สิ่ง', 'ที่', 'เพื่อน', 'ส่ง', 'มา', 'ให้', 'พร้อม', 'บอ', 'กว่า', ""'"", 'ชั้น', 'ยัง', 'เก็บ', 'เสื้อ', 'ขาว', 'ให้', 'แก', ""'"", 'โอ้ย', 'ยยย#', 'เพิ่มเติม']",I Roam Alone
