,Place,Person,Post,Share,Date
0,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],"The Gaijin Trips แบกเป้เที่ยวคนเดียว EP67 เปียงซ้อ 3วัน2คืน
การเดินทางกลับมายังจังหวัดน่านเพราะความสงสัยในเส้นทางที่ไม่เคยได้ไปถึง เปียงซ้อเป็นอีกจุดหมายที่เราเคยได้ยินผ่านหูจากชาวบ้านโดยบังเอิญ… เพิ่มเติม",,2021-11-30 06:33:00.000000
1,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],ใครยังไม่ได้ไปดู สามารถดูและติดตามกันได้นะครับในอีกหนึ่งช่องทาง YouTube Chanel กับ EP67 เปียงซ้อ จ้า🙏😄,,2021-12-01 17:58:27.938350
2,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],,,2021-11-30 23:00:00.000000
3,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],EP67 เปียงซ้อ ไปแอ่วน่านกันให้สุดปลายทางกับ 2 ล้อ เร็วๆนี้จ้า 😄,,2021-11-28 11:42:00.000000
4,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],อีกหนึ่งช่องทางในการติดตาม EP66 โป่งแรด จันทบุรี อีกหนึ่งการเดินทางสบายๆในภาคตะวันออก 🙂,,2021-11-17 17:38:00.000000
5,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],"The Gaijin Trips แบกเป้เที่ยวคนเดียว EP66 โป่งแรด จันทบุรี 2วัน1คืน
อีกครั้งกับการเดินทางไปยังจังหวัดจันทบุรี ซึ่งยังคงมีอีกหลายจุดที่ใช้แผนที่จากปากของชาวบ้าน ครั้งนี้กับการเดินทางเข้าสู่โป่งแรด… เพิ่มเติม",,2021-11-16 08:32:00.000000
6,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],ขอบคุณบทสัมภาษณ์จาก Ad Addict หลังจากที่ได้รับรางวัล Best Travel Influencer ในปี 2021 นี้ครับ,"“เราไม่ได้เป็นนักท่องเที่ยว แต่เราคือนักเล่าเรื่อง” รู้จัก The Gaijin Trips กับคุณเบนซ์-ถาวร อดีตมนุษย์โปรดักชั่นผู้ผันตัวมาเป็นนักเดินทาง (อ่านเพิ่มเติม : https://bit.ly/3c5K5eY) [ADclusive]
.… เพิ่มเติม",2021-11-15 11:14:00.000000
7,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],กลางเดือนไปแว้นกันกับ EP66 โป่งแรด@จันทบุรี จ้า💨,,2021-11-12 20:33:00.000000
8,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],"ในช่วง Lockdown ที่ผ่านมา หลายคนคงต้องหยุดอยู่ที่บ้านจนหงอยเหงาไปตามๆกัน รวมทั้งตัวผมก็เช่นกัน ที่ทำได้แค่ดูแลรถอยู่บ้านและใช้ชีวิตไปกับครอบครัว ซึ่งคงเป็นอีกช่วงเวลาหนึ่งที่ผมได้บันทึกเก็บไว้
#ShellAdvancePower
#ShellAdvanceCity
#เลือกไปให้สุดในแบบคุณ
#มอเตอร์ไซค์แบบไหนก็เลือกใช้เชลล์แอ๊ดว้านซ์",,2021-11-04 18:05:00.000000
9,,['The Gaijin Trips แบกเป้เที่ยวคนเดียว'],"EP65 แบกเป้เที่ยว สะปัน
อีกหนึ่งช่องทางการติดตาม Youtube Chanel จ้า",,2021-11-02 17:38:00.000000
